title;title_details;"	IMDb Rating"
Ikinci Bahar;196. Ikinci Bahar (1998);8,5
Da Terra à Lua;197. Da Terra à Lua (1998);8,5
Flight of the Conchords;198. Flight of the Conchords (2007);8,5
Letterkenny;199. Letterkenny (2016);8,5
Mystery Science Theater 3000;200. Mystery Science Theater 3000 (1988);8,5
The Great British Bake Off;201. The Great British Bake Off (2010);8,5
The Bugs Bunny/Road Runner Hour;202. The Bugs Bunny/Road Runner Hour (1968);8,5
Chef's Table;203. Chef's Table (2015);8,5
Hunter x Hunter;204. Hunter x Hunter (1999);8,5
Detectoristas;205. Detectoristas (2014);8,5
Amor, Morte & Robôs;206. Amor, Morte & Robôs (2019);8,5
Coupling;207. Coupling (2000);8,5
Shameless;208. Shameless (2011);8,5
Tirando a Maior Onda;209. Tirando a Maior Onda (2011);8,5
A História Não Contada dos Estados Unidos;210. A História Não Contada dos Estados Unidos (2012);8,5
Doctor Who;211. Doctor Who (2005);8,5
The IT Crowd;212. The IT Crowd (2006);8,5
Mr. Robot: Sociedade Hacker;213. Mr. Robot: Sociedade Hacker (2015);8,5
Alfred Hitchcock Apresenta;214. Alfred Hitchcock Apresenta (1955);8,5
Naruto Shippuden;215. Naruto Shippuden (2007);8,5
Endeavour;216. Endeavour (2012);8,5
The Defiant Ones;217. The Defiant Ones (2017);8,5
Generation Kill;218. Generation Kill (2008);8,5
Louie;219. Louie (2010);8,5
Mob Psycho 100;220. Mob Psycho 100 (2016);8,5
Homicídio;221. Homicídio (1993);8,5
GTO;222. GTO (1999);8,5
Silicon Valley;223. Silicon Valley (2014);8,5
The Night Of;224. The Night Of (2016);8,5
Whose Line Is It Anyway?;225. Whose Line Is It Anyway? (1998);8,5
I'm Alan Partridge;226. I'm Alan Partridge (1997);8,5
Big Little Lies;227. Big Little Lies (2017);8,5
A Amiga Genial;228. A Amiga Genial (2018);8,5
Spartacus: Deuses da Arena;229. Spartacus: Deuses da Arena (2011);8,5
Hannibal;230. Hannibal (2013);8,5
Shigatsu wa kimi no uso;231. Shigatsu wa kimi no uso (2014);8,5
The Office;232. The Office (2001);8,5
Horace and Pete;233. Horace and Pete (2016);8,5
Ezel;234. Ezel (2009);8,5
Jogos Sagrados;235. Jogos Sagrados (2018);8,5
Filhos da Anarquia;236. Filhos da Anarquia (2008);8,5
O Que Fazemos nas Sombras;237. O Que Fazemos nas Sombras (2019);8,5
Boku dake ga inai machi;238. Boku dake ga inai machi (2016);8,5
As Novas Aventuras do Batman;239. As Novas Aventuras do Batman (1997);8,5
Yellowstone;240. Yellowstone (2018);8,5
Crimes em Déli;241. Crimes em Déli (2019);8,5
Black Books;242. Black Books (2000);8,5
John Adams;243. John Adams (2008);8,5
Gintama;244. Gintama (2005);8,5
Spartacus;245. Spartacus (2010);8,5
Os Irmãos Aventura;246. Os Irmãos Aventura (2003);8,4
The Expanse;247. The Expanse (2015);8,4
Clannad: After Story;248. Clannad: After Story (2008);8,4
Samurai Jack;249. Samurai Jack (2001);8,4
Harley Quinn;250. Harley Quinn (2019);8,4
