title;title_details;"	IMDb Rating"
Cat on a Hot Tin Roof;240. Cat on a Hot Tin Roof (1958);8.0
Rio Bravo;241. Rio Bravo (1959);8.0
The Last Picture Show;242. The Last Picture Show (1971);8.0
Rope;243. Rope (1948);8.0
Sling Blade;244. Sling Blade (1996);8.0
Annie Hall;245. Annie Hall (1977);8.0
Touch of Evil;246. Touch of Evil (1958);8.0
The Nightmare Before Christmas;247. The Nightmare Before Christmas (1993);8.0
Cinderella Man;248. Cinderella Man (2005);8.0
Togo;249. Togo (2019);8.0
The Straight Story;250. The Straight Story (1999);8.0
